Emission,time,comp,Type,intensity1,position,d1_time,Totalbio,Leaf3,Channel_number
0.00900735,2,IGL,b,12,Leaf3,1,1,1,2
0.253408861,2,TPS2,b,12,Leaf3,1,1,1,2
2.779773933,2,TPS10,b,12,Leaf3,1,1,1,2
0.0139513,3,CYP92C5,b,12,Leaf3,1,1,1,2
0.006756845,3,IGL,b,12,Leaf3,1,1,1,2
0.76145596,3,TPS2,b,12,Leaf3,1,1,1,2
4.544322093,3,TPS10,b,12,Leaf3,1,1,1,2
0.0033756,5,CYP92C5,b,12,Leaf3,1,1,1,2
0.002946465,5,IGL,b,12,Leaf3,1,1,1,2
0.228616621,5,TPS2,b,12,Leaf3,1,1,1,2
0.895089596,5,TPS10,b,12,Leaf3,1,1,1,2
0.0205088,0,CYP92C5,b,12,Leaf3,1,1,1,3
0.007972549,0,IGL,b,12,Leaf3,1,1,1,3
0.070461145,0,TPS2,b,12,Leaf3,1,1,1,3
0.023164787,0,TPS10,b,12,Leaf3,1,1,1,3
0.065706,0.5,CYP92C5,b,12,Leaf3,1,1,1,3
0.098276504,0.5,IGL,b,12,Leaf3,1,1,1,3
0.399375959,0.5,TPS2,b,12,Leaf3,1,1,1,3
0.28544177,0.5,TPS10,b,12,Leaf3,1,1,1,3
0.0548925,1,CYP92C5,b,12,Leaf3,1,1,1,3
0.017587804,1,IGL,b,12,Leaf3,1,1,1,3
1.566545662,1,TPS2,b,12,Leaf3,1,1,1,3
1.926930455,1,TPS10,b,12,Leaf3,1,1,1,3
0.0249544,1.5,CYP92C5,b,12,Leaf3,1,1,1,3
0.010879201,1.5,IGL,b,12,Leaf3,1,1,1,3
1.006696146,1.5,TPS2,b,12,Leaf3,1,1,1,3
2.244729676,1.5,TPS10,b,12,Leaf3,1,1,1,3
0.0237353,2,CYP92C5,b,12,Leaf3,1,1,1,3
0.013669281,2,IGL,b,12,Leaf3,1,1,1,3
0.863025795,2,TPS2,b,12,Leaf3,1,1,1,3
2.969480463,2,TPS10,b,12,Leaf3,1,1,1,3
0.013675,3,CYP92C5,b,12,Leaf3,1,1,1,3
0.012179867,3,IGL,b,12,Leaf3,1,1,1,3
1.140854632,3,TPS2,b,12,Leaf3,1,1,1,3
5.209525075,3,TPS10,b,12,Leaf3,1,1,1,3
0.0042161,5,CYP92C5,b,12,Leaf3,1,1,1,3
0.001255406,5,IGL,b,12,Leaf3,1,1,1,3
0.098877173,5,TPS2,b,12,Leaf3,1,1,1,3
1.944790946,5,TPS10,b,12,Leaf3,1,1,1,3
0.0190461,0,CYP92C5,b,12,Leaf3,1,1,1,4
0.008381772,0,IGL,b,12,Leaf3,1,1,1,4
0.399630539,0,TPS2,b,12,Leaf3,1,1,1,4
0.001260628,0,TPS10,b,12,Leaf3,1,1,1,4
0.0425174,0.5,CYP92C5,b,12,Leaf3,1,1,1,4
0.044596754,0.5,IGL,b,12,Leaf3,1,1,1,4
0.64636049,0.5,TPS2,b,12,Leaf3,1,1,1,4
0.202283101,0.5,TPS10,b,12,Leaf3,1,1,1,4
0.0254043,1,CYP92C5,b,12,Leaf3,1,1,1,4
0.026010795,1,IGL,b,12,Leaf3,1,1,1,4
0.762073318,1,TPS2,b,12,Leaf3,1,1,1,4
1.669081512,1,TPS10,b,12,Leaf3,1,1,1,4
0.0552424,1.5,CYP92C5,b,12,Leaf3,1,1,1,4
0.019767359,1.5,IGL,b,12,Leaf3,1,1,1,4
1.85461652,1.5,TPS2,b,12,Leaf3,1,1,1,4
4.44888955,1.5,TPS10,b,12,Leaf3,1,1,1,4
0.0251806,2,CYP92C5,b,12,Leaf3,1,1,1,4
0.014521793,2,IGL,b,12,Leaf3,1,1,1,4
0.926666074,2,TPS2,b,12,Leaf3,1,1,1,4
1.747145182,2,TPS10,b,12,Leaf3,1,1,1,4
0.0100795,3,CYP92C5,b,12,Leaf3,1,1,1,4
