Channel_number,Emission,Type,time,comp,Totalbio,d1_time,intensity1,Leaf3
72,148.657,l4,4.666666667,DMNT,1,1,1,1
72,145.371,l4,4.833333333,DMNT,1,1,1,1
72,151.958,l4,5,DMNT,1,1,1,1
72,138.696,l4,5.166666667,DMNT,1,1,1,1
72,141.624,l4,5.333333333,DMNT,1,1,1,1
72,123.415,l4,5.5,DMNT,1,1,1,1
72,114.552,l4,5.666666667,DMNT,1,1,1,1
72,115.4,l4,5.833333333,DMNT,1,1,1,1
72,103.583,l4,6,DMNT,1,1,1,1
72,38.5609,l4,6.166666667,DMNT,1,1,1,1
72,107.593,l4,6.333333333,DMNT,1,1,1,1
72,86.5145,l4,6.5,DMNT,1,1,1,1
72,90.4469,l4,6.666666667,DMNT,1,1,1,1
72,75.4025,l4,6.833333333,DMNT,1,1,1,1
72,89.3837,l4,7,DMNT,1,1,1,1
72,74.2736,l4,7.166666667,DMNT,1,1,1,1
72,69.9672,l4,7.333333333,DMNT,1,1,1,1
72,53.3465,l4,7.5,DMNT,1,1,1,1
72,65.3884,l4,7.666666667,DMNT,1,1,1,1
72,57.6539,l4,7.833333333,DMNT,1,1,1,1
72,59.9634,l4,8,DMNT,1,1,1,1
72,42.9733,l4,8.166666667,DMNT,1,1,1,1
72,2.99612,l4,8.333333333,DMNT,1,1,1,1
72,50.2761,l4,8.5,DMNT,1,1,1,1
72,51.4462,l4,8.666666667,DMNT,1,1,1,1
72,44.8023,l4,8.833333333,DMNT,1,1,1,1
72,1.00E-08,l4,9,DMNT,1,1,1,1
72,32.8259,l4,9.166666667,DMNT,1,1,1,1
73,2.67972,l3,-0.666666667,DMNT,1,1,1,1
73,8.34598,l3,-0.5,DMNT,1,1,1,1
73,6.476,l3,-0.333333333,DMNT,1,1,1,1
73,2.17652,l3,-0.166666667,DMNT,1,1,1,1
73,8.8451,l3,0,DMNT,1,1,1,1
73,8.17279,l3,0.166666667,DMNT,1,1,1,1
73,9.75451,l3,0.333333333,DMNT,1,1,1,1
73,9.40116,l3,0.5,DMNT,1,1,1,1
73,11.218,l3,0.666666667,DMNT,1,1,1,1
73,6.15881,l3,0.833333333,DMNT,1,1,1,1
73,15.4811,l3,1,DMNT,1,1,1,1
73,26.5456,l3,1.166666667,DMNT,1,1,1,1
73,59.403,l3,1.333333333,DMNT,1,1,1,1
73,134.014,l3,1.5,DMNT,1,1,1,1
73,220.405,l3,1.666666667,DMNT,1,1,1,1
73,353.767,l3,1.833333333,DMNT,1,1,1,1
73,509.787,l3,2,DMNT,1,1,1,1
73,677.725,l3,2.166666667,DMNT,1,1,1,1
73,829.063,l3,2.333333333,DMNT,1,1,1,1
73,851.707,l3,2.5,DMNT,1,1,1,1
73,1039.89,l3,2.666666667,DMNT,1,1,1,1
73,1177.37,l3,2.833333333,DMNT,1,1,1,1
73,1102.78,l3,3,DMNT,1,1,1,1
73,1100.12,l3,3.166666667,DMNT,1,1,1,1
73,1018.89,l3,3.333333333,DMNT,1,1,1,1
73,1006.01,l3,3.5,DMNT,1,1,1,1
73,988.564,l3,3.666666667,DMNT,1,1,1,1
73,915.862,l3,3.833333333,DMNT,1,1,1,1
73,912.773,l3,4,DMNT,1,1,1,1
73,836.866,l3,4.166666667,DMNT,1,1,1,1
73,793.816,l3,4.333333333,DMNT,1,1,1,1
73,761.256,l3,4.5,DMNT,1,1,1,1
