,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
886,3.90099,60,DMNT,1.5,b,15_min_feeding,Wholeplant,10.5,60,60
887,12.6854,60,DMNT,2,b,15_min_feeding,Wholeplant,10.5,60,60
888,15.4411,60,DMNT,2.5,b,15_min_feeding,Wholeplant,10.5,60,60
889,10.7336,60,DMNT,3,b,15_min_feeding,Wholeplant,10.5,60,60
890,5.57355,60,DMNT,4,b,15_min_feeding,Wholeplant,10.5,60,60
891,4.93611,60,DMNT,4.5,b,15_min_feeding,Wholeplant,10.5,60,60
892,6.55681,60,DMNT,5,b,15_min_feeding,Wholeplant,10.5,60,60
893,8.51819,60,DMNT,5.5,b,15_min_feeding,Wholeplant,10.5,60,60
894,9.17203,60,DMNT,6,b,15_min_feeding,Wholeplant,10.5,60,60
895,8.26256,60,DMNT,6.5,b,15_min_feeding,Wholeplant,10.5,60,60
896,6.79562,60,DMNT,7,b,15_min_feeding,Wholeplant,10.5,60,60
897,6.20914,60,DMNT,7.5,b,15_min_feeding,Wholeplant,10.5,60,60
898,4.29689,60,DMNT,8,b,15_min_feeding,Wholeplant,10.5,60,60
899,4.60428,60,DMNT,8.5,b,15_min_feeding,Wholeplant,10.5,60,60
900,2.82127,60,DMNT,9,b,15_min_feeding,Wholeplant,10.5,60,60
901,3.01606,60,DMNT,9.5,b,15_min_feeding,Wholeplant,10.5,60,60
902,2.5446,60,DMNT,10,b,15_min_feeding,Wholeplant,10.5,60,60
903,2.88795,60,DMNT,10.5,b,15_min_feeding,Wholeplant,10.5,60,60
904,1.69669,60,DMNT,11,b,15_min_feeding,Wholeplant,10.5,60,60
905,1.28957,60,DMNT,11.5,b,15_min_feeding,Wholeplant,10.5,60,60
906,1.91722,60,DMNT,12,b,15_min_feeding,Wholeplant,10.5,60,60
907,0.394614,60,DMNT,12.5,b,15_min_feeding,Wholeplant,10.5,60,60
908,1.15438,60,DMNT,13,b,15_min_feeding,Wholeplant,10.5,60,60
909,1.69281,60,DMNT,13.5,b,15_min_feeding,Wholeplant,10.5,60,60
910,1.10401,60,DMNT,14,b,15_min_feeding,Wholeplant,10.5,60,60
911,0.864419,60,DMNT,14.5,b,15_min_feeding,Wholeplant,10.5,60,60
912,1.45328,60,DMNT,15,b,15_min_feeding,Wholeplant,10.5,60,60
913,0.686983,60,DMNT,15.5,b,15_min_feeding,Wholeplant,10.5,60,60
914,1.39346,60,DMNT,16,b,15_min_feeding,Wholeplant,10.5,60,60
915,1.11562,60,DMNT,16.5,b,15_min_feeding,Wholeplant,10.5,60,60
916,0.33263,60,DMNT,17,b,15_min_feeding,Wholeplant,10.5,60,60
917,1.61716,60,DMNT,17.5,b,15_min_feeding,Wholeplant,10.5,60,60
918,1.0798,60,DMNT,18,b,15_min_feeding,Wholeplant,10.5,60,60
919,1.48663,60,DMNT,18.5,b,15_min_feeding,Wholeplant,10.5,60,60
920,1.3661,60,DMNT,19,b,15_min_feeding,Wholeplant,10.5,60,60
921,0.870252,60,DMNT,19.5,b,15_min_feeding,Wholeplant,10.5,60,60
922,1.27262,60,DMNT,20,b,15_min_feeding,Wholeplant,10.5,60,60
923,1.35562,60,DMNT,20.5,b,15_min_feeding,Wholeplant,10.5,60,60
924,1.60813,60,DMNT,21,b,15_min_feeding,Wholeplant,10.5,60,60
925,0.486532,60,TMTT,-1,b,15_min_feeding,Wholeplant,10.5,60,60
926,0.7959,60,TMTT,-0.5,b,15_min_feeding,Wholeplant,10.5,60,60
927,0.193527,60,TMTT,0,b,15_min_feeding,Wholeplant,10.5,60,60
928,0.413713,60,TMTT,0.5,b,15_min_feeding,Wholeplant,10.5,60,60
929,1.43065,60,TMTT,1,b,15_min_feeding,Wholeplant,10.5,60,60
930,1.2382,60,TMTT,1.5,b,15_min_feeding,Wholeplant,10.5,60,60
931,0.588724,60,TMTT,2,b,15_min_feeding,Wholeplant,10.5,60,60
932,1.2075,60,TMTT,2.5,b,15_min_feeding,Wholeplant,10.5,60,60
